,Score,Excluded_Outliers,Condition
0,988.9823,No,Predicted Low 2
1,989.0804,No,Predicted Low 2
2,915.4741,No,Predicted Low 2
3,995.232,No,Predicted High
4,640.229,Yes,Predicted High
5,761.4981,Yes,Predicted High
6,995.244,No,Predicted High
8,976.8129,No,Predicted High
10,999.3187,No,Predicted High
11,500.0,Yes,Predicted High
12,999.3368,No,Predicted Low 1
13,998.0574,No,Predicted Low 1
14,1000.0,No,Predicted Low 1
15,976.9354,No,Predicted Low 1
16,999.4199,No,Predicted High
17,1000.0,No,Predicted High
18,995.1666,No,Predicted High
19,995.1958,No,Predicted High
21,998.0872,No,Predicted Low 2
22,915.5534,No,Predicted Low 2
23,1000.0,No,Predicted Low 2
24,998.1142,No,Predicted Low 2
25,976.8976,No,Predicted Low 1
26,995.4482,No,Predicted Low 1
27,995.1869,No,Predicted Low 1
28,998.2346,No,Predicted Low 1
29,999.6603,No,Predicted Low 1
30,761.2102,Yes,Predicted Low 1
31,977.868,No,Predicted Low 2
33,999.4199,No,Predicted Low 2
34,999.9928,No,Predicted Low 2
35,996.4887,No,Predicted Low 2
36,999.3537,No,Predicted Low 2
37,958.4045,No,Predicted Low 2
38,999.3637,No,Predicted Low 1
39,762.753,Yes,Predicted Low 1
40,955.0138,No,Predicted Low 1
41,976.8665,No,Predicted Low 1
43,1000.0,No,Predicted Low 1
44,999.7967,No,Predicted High
45,998.0998,No,Predicted High
46,999.8078,No,Predicted High
47,999.7945,No,Predicted High
48,976.7792,No,Predicted Low 2
50,915.5934,No,Predicted Low 2
51,999.3385,No,Predicted Low 2
52,640.3292,Yes,Predicted Low 2
53,640.3292,Yes,Predicted Low 2
54,977.2646,No,Predicted Low 2
55,788.3966,Yes,Predicted Low 2
57,999.3477,No,Predicted Low 2
58,999.7967,No,Predicted Low 2
59,998.1177,No,Predicted Low 2
60,854.3375,Yes,Predicted High
61,954.6103,Yes,Predicted High
62,995.1996,No,Predicted Low 1
63,938.5488,No,Predicted Low 1
64,995.1869,No,Predicted Low 1
65,995.2892,No,Predicted Low 1
66,995.1442,No,Predicted Low 1
67,989.0659,No,Predicted High
68,996.7201,No,Predicted High
69,999.8089,No,Predicted High
70,923.6364,Yes,Predicted High
71,995.8543,No,Predicted High
72,976.9108,No,Predicted Low 2
74,976.9093,No,Predicted Low 2
75,954.323,No,Predicted Low 2
76,993.219,No,Predicted High
77,1000.0,No,Predicted High
78,989.0781,No,Predicted High
80,999.9931,No,Predicted High
81,989.0385,No,Predicted High
82,996.088,No,Predicted High
84,958.5728,No,Predicted High
85,989.4478,No,Predicted Low 1
86,976.8889,No,Predicted Low 1
87,915.89,No,Predicted Low 1
88,500.0,Yes,Predicted Low 1
89,915.9694,No,Predicted Low 1
90,999.344,No,Predicted Low 1
91,1000.0,No,Predicted Low 1
92,996.7818,No,Predicted Low 1
93,988.9315,No,Predicted Low 1
94,999.9534,No,Predicted Low 1
95,915.89,No,Predicted Low 1
96,999.8474,No,Predicted Low 1
97,770.1554,Yes,Predicted Low 1
98,954.382,No,Predicted Low 1
99,999.3542,No,Predicted Low 1
100,999.9534,No,Predicted Low 1
103,988.9333,No,Predicted High
105,976.8976,No,Predicted High
107,998.2346,No,Predicted Low 2
108,995.244,No,Predicted Low 2
109,916.7625,No,Predicted Low 2
110,999.8082,No,Predicted Low 2
